Nome,Quantidade,Componente
"U1",1," Sensor de temperatura [TMP36]"
"Rpot1",1,"5 kΩ Potenciômetro"
"U2",1," LCD 16 x 2 "
"R1",1,"220 kΩ Resistor"
"U3",1," Arduino Uno R3"
